Edicion,Brebe descripcion,Cartel,Descarga el cartel,Descarga Catalogo,Programacion,HOMENAJES / INVITADOS ESPECIALES,IGNITE SESSIONS,PANELES,PREMIOS
"EDICIÓN 2024
4 AL 8 DICIEMBRE","El 2024 marcó el regreso del Festival Internacional de Cine de Los Cabos, después de una pausa obligada en su edición 2023. Enmarcado bajo el concepto Encuentros de cine, el Festival expandió sus horizontes hacia San José del Cabo, en nuevas sedes como Crania, el Jardín Escultórico Puerto Los Cabos, Hotel El Ganzo, Plaza Mijares, además de tener actividades en Cinemex Puerto Paraíso, en Cabo San Lucas. Fue una edición con un enfoque especial en el cine nacional a través del programa Encuadres Mexicanos, que incluyó la programación de once largometrajes de reciente producción, así como la presentación de dos conversatorios:  México: un cine sin fronteras y De la sala de cine al bolsillo: audiencias, pantallas y accesibilidad en la era digital, y el Taller de Desarrollo de Proyectos para Realizadores de Baja California Sur en apoyo a creadores audiovisuales de la región. Este año el Fondo Fílmico Gabriel Figueroa apoyó a primeras y segundas películas y se le dio continuidad al ciclo de cine gratuito La Baja Inspira Itinerante, que durante el año recorrió Cabo San Lucas, Ciudad Insurgentes, El Triunfo, Guerrero Negro, La Paz, Loreto, San José del Cabo, Todos Santos, Tijuana y Mexicali.","https://static.wixstatic.com/media/589d69_35588de52248466c934a83761821f02d~mv2.jpg/v1/fill/w_708,h_1044,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Poster-70x100.jpg",https://drive.google.com/file/d/1tXYcBf8gqXUqHu12jycLgBqwqwHY5DQP/view?usp=sharing,https://www.ficloscabos.org/_files/ugd/589d69_85362e90726047b4992c881da92100bf.pdf,"ENCUADRES MEXICANOS
Animal / Humano  |  Dir. Alessandro Pugno   |   España, Italia, México

Corina   |   Dir. Urzula Barba Hopfner   |   México

El Jockey   |   Dir. Luis Ortega   |   Argentina, México, España, Dinamarca, Estados Unidos

El ladrón de perros   |   Dir. Vinko Tomičić   |   Bolivia, Chile, México, Ecuador, Francia, Italia

No nos moverán   |   Dir. Pierre Saint-Martin   |   México

Nómadas de la 57   |   Dir. Alberto Arnaut Estrada, José María Castro Ibarra   |   México

La Raya   |   Dir. Yolanda Cruz   |   México

Sujo   |   Dir. Astrid Rondero, Fernanda Valadez   |   Estados Unidos, México, Francia

Tesis sobre una domesticación   |   Dir. Javier Van De Couter   | Argentina, México

Un cuento de pescadores   |   Dir. Edgar Nito   |   México

Una historia de amor y guerra   |   Dir. Santiago Mohar Volkow   |   México, 2024

MOVIE NIGHT
Limonov: The Ballad of Eddie   |   Dir. Kirill Serebrennikov   |   Italia, Francia   |   España

INAGURACIÓN
Better Man   |   Dir. Michael Gracey   |   Estados Unidos, Australia, Reino Unido, Suiza, China

CLAUSURA
Maria   |   Dir. Pablo Larraín   |   Italia, Alemania, Chile, Estados Unidos","PREMIO SIN FRONTERAS A MELISSA BARRERA

El Festival Internacional de Cine de Los Cabos otorgó en su Ceremonia de Clausura el Premio Sin Fronteras a la actriz mexicana Melissa Barrera, quien después de dar sus primeros pasos en la película Dos veces tú y la serie Club de Cuervos, dio el salto a la escena global con su interpretación de Vanessa en In the Heights. También participó en el reboot de la icónica saga Scream, papel que la posicionó como una de las figuras femeninas más destacadas en la representación de la cultura latina en la industria cinematográfica internacional. Barrera también destaca por su trabajo en Vida, Abigail y su más reciente filme, Your Monster.

PREMIO SIN FRONTERAS A MANUEL GARCÍA RULFO
Por su versatilidad actoral y su contribución al posicionamiento del talento mexicano en producciones internacionales, el Festival Internacional de Cine de Los Cabos reconoció al actor mexicano Manuel García Rulfo con el Premio Sin Fronteras. Rulfo es uno de los actores más versátiles de su generación que ha brillado en proyectos que van desde el cine mexicano independiente hasta grandes producciones de Hollywood.  Su participación en películas como The Magnificent Seven (2016), dirigida por Antoine Fuqua, A Man Called Otto, al lado de Tom Hanks, Dos estaciones (2022) y Una historia de amor y guerra (2024), así como su colaboración con renombrados directores como Kenneth Branagh, resaltan su capacidad para interpretar personajes complejos en narrativas de gran alcance.",/,\,"PREMIOS FONDO FÍLMICO GABRIEL FIGUEROA

Donde la vida se contempla, todo está sumergido   |   Dir. Irving Uribe Nares

PREMIO SHALALA
El último rey   |   Dir. Víctor Checa

MENCIÓN ESPECIAL SHALALA
Salvatierra    |   Dir. Santiago Raphael Priego y Gabriele Licchelli

PREMIO CTT EXP & RENTALS
Salvatierra    |   Dir. Santiago Raphael Priego y Gabriele Licchelli

PREMIO CINECOLOR
Lux Noctis    |   Dir. Damiana Acuña"
"EDICIÓN 2022
9 AL 13 NOVIEMBRE","En su decimoprimera edición el Festival Internacional de Cine de Los Cabos regreso a los espacios físicos a través de la inigualable experiencia colectiva que nos ofrece el cine. Este año presentamos una programación imperdible que la audiencia pudo disfrutar en las salas de Cinemex Puerto Paraíso, así como en otros espacios al aire libre: Once Once y la Plaza Cívica de la Comunidad de La Playa. En el marco del Festival se entregó el Premio Sin Fronteras al actor mexicano Tenoch Huerta, y se otorgó el reconocimiento Mujeres Fantásticas a la actriz y productora Karla Souza. Esta edición también festejamos el regreso de nuestras actividades de Industria a una edición cien por ciento presencial, a través de tres programas principales: el Fondo Fílmico Gabriel Figueroa, el Meet-Mart y un Programa de paneles: Nuevas señales de cine e Historias efímeras: el cine ante las nuevas audiencias. Además,  este año como seguimiento a los estrenos de películas nacionales que han formado parte del Fondo Fílmico Gabriel Figueroa, se suma una nueva sección: Encuadres Mexicanos.","https://static.wixstatic.com/media/589d69_5a30332cd9a94c03bb535ed1ae8a9469~mv2.png/v1/fill/w_522,h_772,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/2022.png",https://drive.google.com/file/d/1oNKyt0I91O-FTF-pPGIbJ_R6alQnEzF9/view?usp=sharing,https://www.ficloscabos.org/_files/ugd/589d69_ebb07096d2b24155a61e03b8b7ebdee2.pdf,"SELECCIÓN OFICIAL - COMPETENCIA LOS CABOS

Blanquita | Dir. Fernando Guzzoni | Chile, México, Luxemburgo, Francia, Polonia

El suplente | Dir. Diego Lerman | Argentina, Italia, Francia, España, México

Falcon Lake | Dir. Charlotte Le Bon | Canadá-Quebec, Francia

I Love My Dad | Dir. James Morosini | Estados Unidos

Runner | Dir. Marian Mathias | Estados Unidos, Francia, Alemania

The Origin of Evil | Dir. Sébastien Marnier | Francia, Canadá

Viking | Dir. Stéphane Lafleur | Canadá 

 

SELECCIÓN OFICIAL - LA BAJA INSPIRA EN COMPETENCIA

Algún día caerá | Dir. Mateo Vargas | México

Ir y volver | Dir. José Permar | México, Bélgica, Hungría

Por los viejos tiempos | Dir. Paula Natalia de Anda Vargas | México  

 

LA BAJA INSPIRA FUERA DE COMPETENCIA

Amores incompletos | Dir. Gilberto Gónzalez Penilla | México

Las rutas de Harry Crosby | Dir. Isaac Artenstein | Estados Unidos

 

GALAS

The Whale (La ballena) | Dir. Darren Aronofsky | Estados Unidos

Women Talking* | Dir. Sarah Polley | Estados Unidos

​

PREMIO SIN FRONTERAS A TENOCH HUERTA

Días de gracia | Dir. Everardo Gout | México

Güeros | Dir. Alonso Ruizpalacios | México​

 

HerSTORY

She Said | (Ella dijo) | Dir. Maria Schrader | Estados Unidos

One Fine Morning | Dir. Mia Hansen-Løve | Francia, Reino Unido, Alemania

Sanctuary | Dir. Zachary Wigon | Estados Unidos

Women Talking (Ellas hablan) | Dir. Sarah Polley | Estados Unidos

WORLD HIGHLIGHTS 

As Bestas | Dir. Rodrigo Sorogoyen | España, Francia

Holy Spider | Dir. Ali Abbasi | Dinamarca, Alemania, Suiza, Francia

The Banshees of Inisherin (Los espíritus de la isla) | Dir. Martin McDonagh | Irlanda, Reino Unido, Estados Unidos

No Bears | Dir. Jafar Panahi | Irán

Peter von Kant | Dir. Francois Ozon | Francia 

 

GREEN 

All that Breathes | Dir. Shaunak Sen | Reino Unido, India, Estados Unidos

Elephant Mother | Dir. Jez Lewis | Reino Unido

Patrick and the Whale | Dir. Mark Fletcher | Austria

 

AFTER DARK

Hatching (Cría siniestra) | Dir. Hanna Bergholm | Finlandia

Bones and All (Hasta los huesos) | Dir. Luca Guadagnino | Italia, Reino Unido

Nanny | Dir. Nikyatu Jusu | Estados Unidos

Sick of Myself | Dir. Kristoffer Borgli | Noruega, Suiza

 

ENCUADRES MEXICANOS

Home is Somewhere Else | Dir. Carlos Hagerman y Jorge Villalobos | México, Estados Unidos

El reino de Dios | Dir. Claudia Sainte-Luce | México

La caída | Dir. Lucía Puenzo | México​

 

PRESENTACIONES ESPECIALES

Corazonada. La leyenda del Mexican Dream | Dir. J.M. Cravioto | México

La recua | Dir. Trudi Angell y Darío Higuera Meza | México, Estados Unidos","RECONOCIMIENTO MUJERES FANTÁSTICAS A KARLA SOUZA

​

Actriz y productora mexicana. Este año dimos continuidad a la iniciativa Mujeres Fantásticas, acción con la que impulsamos el reconocimiento y visibilidad del trabajo de las mujeres en la industria fílmica. Otorgamos la distinción a la actriz y productora Karla Souza, quien se ha levantado como una voz valiente y de denuncia en contra del abuso en contra de las mujeres dentro y fuera de la industria fílmica; y cuyo trabajo la ha colocado en los más importantes proyectos en la industria cinematográfica y televisiva en Estados Unidos. 

PREMIO SIN FRONTERAS A TENOCH HUERTA

 

Actor y productor mexicano. Por su destacada trayectoria y su incansable labor a favor de la inclusión, la diversidad y la visibilidad del talento latinoamericano en la industria fílmica mundial, el Festival Internacional de Cine de Los Cabos reconoció  en su Gala Inaugural a Tenoch Huerta con el Premio Sin Fronteras. Como parte de este homenaje se exhibió Días de Gracia y Güeros, esta última reconocida con el Premio Competencia Los Cabos en 2014. ",/,"PANEL ‘’NUEVAS SEÑALES DE CINE’’
Participaron:
-Sofía Márquez | Moderadora (México) - Fundadora de Independent Distribution Agency.
-Eréndira Ibarra (México) - Actriz, guionista y co-fundadora de Anónima Media. 
-Anthony Svatek (Estados Unidos) - Realizador y artista visual.
-Diego Nájera (México - Estados Unidos) - Director de Narrative Films en Participant Media.
-Claudia Saint-Luce (México) - Guionista, directora y actriz. 
 
En este panel, distintos miembros de la industria cinematográfica hablaron sobre el origen de las narrativas, las historias que hemos dejado de lado y los eventos que vale la pena revisitar a través del cine.
PANEL ‘’HISTORIAS EFÍMERAS: EL CINE ANTE LAS NUEVAS AUDIENCIAS’’

Participaron:

Arturo Aguilar - Moderador (México) - Investigador y periodista.

Mayra Hermosillo (México) - Actriz y realizadora.

Faridah Gbadamosi (Estados Unidos) - Programadora Senior del Festival Internacional de Cine de Tribeca.

Gastón Pavlovich (México) - CEO de Fábrica de Cine. 

Austin Kennedy (Estados Unidos) - Manager de Ventas Internacionales de Magnolia Pictures.


Un panel donde se dialogó en torno a las siguientes preguntas: ¿Qué hace el cine frente a las necesidades de un nuevo presente? ¿Qué posibilidades ofrecen los nuevos formatos de exhibición? ¿Cómo acercarnos a las nuevas audiencias? ¿Qué dicen sobre nosotros los hábitos de consumo que hemos generado?","SELECCIÓN OFICIAL - COMPETENCIA LOS CABOS

PREMIO COMPETENCIA LOS CABOS: Falcon Lake (Dir. Charlotte Le Bon). 

PREMIO CINECOLOR COMPETENCIA LOS CABOS: El suplente (Dir. Diego Lerman).  

MENCIÓN ESPECIAL al actor James Morosini, quien cuestiona y reflexiona acerca de las masculinidades a través de su papel en I Love My Dad. 

 

SELECCIÓN OFICIAL - LA BAJA INSPIRA

PREMIO SHALALA - FIREPIT - COMPETENCIA LA BAJA INSPIRA: Ir y volver (Dir. José Permar).  

PREMIO LA BAJA INSPIRA OTORGADO POR EL CENTRO DE ESTUDIO EN CIENCIAS DE LA COMUNICACIÓN (CECC): Por los viejos tiempos (Dir. Paula Natalia de Anda Vargas).

 

FONDO FÍLMICO GABRIEL FIGUEROA

PREMIO CTT EXP & RENTALS: Seis meses en el edificio rosa con azul (Dir. Bruno Santamaría) y El diablo fuma (y guarda la cabeza de los cerillos quemados en la misma caja) de Ernesto Martínez Bucio.

PREMIO CINECOLOR - SHALALA - FIREPIT: Todos los incendios (Dir. Mauricio Calderón).

PREMIO CHEMISTRY: Seis meses en el edificio rosa con azul (Dir. Bruno Santamaría). 

PREMIO PIANO: El azufre (Dir. Ana Karen Guzmán). 

PREMIO CIELO CONTENT - IRREVERSIBLE PICTURES - ROOM SERVICE CONTENIDOS: Pía Gómez Escalante, José Luis Isoard y Gonzalo Romero por la serie Mirrey Virrey.

SEXTO CONCURSO DE CRÍTICA CINEMATOGRÁFICA

Alejandro Alemán (Filmsteria!)

Cristina Ibañez (Sensacine México)

Erick Estrada (Cinegarage)

Fernando Moreno “El More” (bero 909 FM)

 

GANADORA:  Rubí Grecia Juárez Ojeda

 

Mención Especial:  Miguel Ángel Domínguez Mancilla.

Mención Especial: Gabriela Orihuela López (de Michoacán).

​

CONCURSO NAVIDAD EN CORTO (en colaboración con Studio Universal)

El Festival Internacional de Cine de Los Cabos presentó la segunda edición del  Concurso Navidad en Corto, en colaboración con NBCUniversal International Networks, a través de su canal especializado en cine Studio Universal. 

​

GANADOR NAVIDAD EN CORTO: Noel Díaz.

 

Seleccionados: Armando Carrillo, La Caja de Fósforos, Rodante Fílmica Grabando Studios / Tucan Entertainment, Lightoon Films, Preparatoria CAV, Manuel Gómez, Santiago García, Ciana Tejada y Ralva Álvarez; Pato Mojado Producciones, Gravedad Inversa Producciones."
"EDICIÓN 2021
10 AL 18 NOVIEMBRE","En el 2021 el Festival celebró su décimo aniversario con una edición híbrida. Como parte de los festejos, las pantallas de Cinemex en Los Cabos, la Ciudad de México, y Mérida –esta última en una función especial presentada en colaboración con Árbol Rojo– se iluminaron con dos nuevas secciones: La Baja Inspira y Pantalla Dorada. También pudimos disfrutar de cuatro paneles y del reconocimiento a la trayectoria a dos figuras trascendentales en el cine: el productor Nico Celis y la actriz Ann Dowd. Además,  unimos esfuerzos con el festival británico Climate Crisis Film Festival, con quien presentamos el programa ingnate sessions a cargo de expertos en medioambiente, y una curaduría de películas con enfoque ambientalista. ","https://static.wixstatic.com/media/589d69_8e128326a72c48d482f00134b5f7f5cd~mv2.jpeg/v1/fill/w_536,h_792,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Poster_2021.jpeg",https://drive.google.com/file/d/1nRsNBwUvzZgXaH4QCF3SPKCMugXJAh22/view?usp=sharing,https://www.ficloscabos.org/_files/ugd/589d69_e19094dd009e4058b5a22cdde245246f.pdf,"SELECCIÓN OFICIAL - COMPETENCIA LOS CABOS

Les bruit des moteurs | Dir. Philippe Grégoire | Canadá-Quebec

Luchadoras | Dir. Paola Calvo y Patrick Jasim | Alemania, México

Night Raiders | Dir. Danis Goulet | Canadá, Nueva Zelanda

Nos hicieron noche | Dir. Antonio Hernández | México

Strawberry Mansion | Dir. Kentucker Audley y Albert Birney | Estados Unidos

Users | Dir. Natalia Almada | México, Estados Unidos

Violet | Dir. Justine Bateman | Estados Unidos

 

LA BAJA INSPIRA

La recua | Dir. Trudi Angell y Darío Higuera Meza | México, Estados Unidos

The gigantes | Dir. Beatriz Sanchis | México, Estados Unidos

Transition | Dir. Alejandro Torres Kennedy | México

 

PANTALLA DORADA 

Belfast | Dir. Kenneth Branagh | Reino Unido

Red Rocket | Dir. Sean Baker | Estados Unidos

The Eyes of Tammy Faye | Dir. Michael Showalter | Estados Unidos

​Mass | Dir. Fran Kranz | Estados Unidos

PANORAMA DIVERGENTE

Beyond the Infinite Two Minutes | Dir. Junta Yamaguchi | Japón

El perro que no calla | Dir. Ana Katz | Argentina

Murina | Dir. Antonete Alamat Kusijanovic | Brasil, Croacia, Estados Unidos, Eslovenia

The Pink Cloud | Dir. Luli Gerbase | Brasil

The Rescue | Dir. Jimmy Chin, E. Chai Vasarhelyi | Estados Unidos, Reino Unido

 

GREEN STRAND

Above Water | Dir. Aïssa Maïga| Francia, Bélgica 

Poupelle of Chimney Town | Dir. Yusuke Hirota |  Japón

River | Dir. Jennifer Peedom y Joseph Nizeti | Australia

 

OUTSTANDING WORK IN CINEMA PRODUCTION A NICOLÁS CELIS

Drunken Birds | Dir. Ivan Grbovic | Canadá-Quebec

Noche de fuego | Dir. Tatiana Huezo | México, Alemania, Brasil, Catar","OUTSTANDING WORK IN CINEMA: PRODUCTION, A NICOLÁS CELIS

 

Productor mexicano. El décimo aniversario del Festival fue la oportunidad perfecta para hacer un homenaje particularmente especial y significativo a Nicolás Celis,  una de las figuras nacionales  más destacadas por su participación en la industria cinematográfica mexicana e internacional. Estuvo acompañado de la exhibición de las dos producciones más recientes de su compañía, Pimienta Films: Noche de fuego, de Tatiana Huezo y Drunken Birds, de Ivan Grbovic; además de una conversación moderada por la guionista y directora de cine, Alejandra Márquez. 

OUTSTANDING WORK IN CINEMA ACTING A ANN DOWD

 

Actriz estadounidense. Como parte de este homenaje se proyectó dentro de la sección Pantalla Dorada, Mass; además de también haber conversado con el crítico de cine, Arturo Aguilar.","En colaboración con el Climate Crisis Film Festival y gracias al apoyo del British Council en México, presentamos una serie de conversaciones únicas que promovieron el pensamiento ecológico con el fin de transformar las prácticas que rigen la industria fílmica y desarrollar nuevas narrativas que permitan mejorar nuestra relación con el medio ambiente.",/,"SELECCIÓN OFICIAL

PREMIO COMPETENCIA LOS CABOS, OTORGADO POR NOBU Y ARDEA: El ruido de los motores (Dir. Philippe Grégoire).

PREMIO CINECOLOR COMPETENCIA LOS CABOS: Strawberry Mansion (Dir. Kentucker Audley y Albert Birney).

PREMIO DE LA PRENSA LOS CABOS, OTORGADO POR EL CENTRO DE ESTUDIOS EN CIENCIAS DE LA COMUNICACIÓN (CECC): La recua (Dirs. Trudi Angell y Darío Higuera Meza).

​

FONDO FÍLMICO GABRIEL FIGUEROA – CINE EN DESARROLLO

PREMIO CTT EXP & RENTALS Y PREMIO CHEMISTRY: Ya se quiere venir la noche (Dir. Gabriel Mariño).

PREMIO PIANO: En vuelo (Dir. Daniela Uribe).

 

FONDO FÍLMICO GABRIEL FIGUEROA – WORK IN PROGRESS

PREMIO CINECOLOR MÉXICO - SHALALA - FIREPIT: Los ríos (Dir. Ryan Fyfe Brown y Dale Bailey).

PREMIO ART KINGDOM: La frontera invisible (Dir.Mariana Flores Villalba).

 

FONDO FÍLMICO GABRIEL FIGUEROA – SERIES EN DESARROLLO

PREMIO CIELO CONTENT, IRREVERSIBLE PICTURES Y ROOM SERVICE CONTENIDOS: Traer vida al mundo (Escritora: Monserrat Larqué).

QUINTO CONCURSO DE CRÍTICA CINEMATOGRÁFICA

Mentores

Alejandra Lucia Arrieta (TEC de Monterrey)

Andrea Rendón (Girls at Films)

Arturo Magaña (Cine Premiere) 

Arturo Rendón Shoup (TEC de Monterrey) 

Erick Estrada (Cinegarage)

Fabiola Santiago (Lumínicas) 

Rafa Paz (Butaca Ancha)

 

GANADORA Karime Rajme Méndez

 

Mención Especial: Juan Ramón Ríos Trejo.

Mención Especial: Romina Hernández Espinoza.


 

CONCURSO NAVIDAD EN CORTO (en colaboración con Studio Universal)

El Festival Internacional de Cine de Los Cabos abrió un espacio para la participación de cortometrajes con el Concurso Navidad en Corto, presentado en colaboración con NBCUniversal International Networks, a través de su canal especializado en cine Studio Universal. 

 

GANADOR Juan Miguel González Henao (Colombia). 

 

Seleccionados: Elizabeth Marlo, Israel Gómez Resendiz, Christian Quintana,  Martín Lara Raudry, Mariano Asseff, Héctor Mauricio Santos Félix, José Ernesto Martínez, Juliana Galván y Francisco Torres Toledo.

 

El ganador obtuvo un premio en efectivo de 7,000USD y, la oportunidad, junto con los seleccionados, de presentar su corto en las diferentes ventanas de exhibición de Studio Universal."
"EDICIÓN 2020
11 AL 19 NOVIEMBRE","Bajo el lema (re)imaginarnos, la novena edición del Festival Internacional de Cine de Los Cabos se celebró completamente en el espacio digital, presentando una nueva oportunidad de dialogar con nuestra audiencia a nivel nacional. La programación conformada por 20 títulos nacionales e internacionales de los cuáles 95% fueron estrenos en México, fue disfrutada por más de 45,000 espectadores a nivel nacional. También se  presentaron los paneles Representación trans en el cine contemporáneo y 2020: hacia la transformación de nuestra industria, además de una conversación exclusiva con Demián Bichir y una charla con la directora Josephine Decker.","https://static.wixstatic.com/media/589d69_72ffde72244f4e80a3279000835f5d9b~mv2.png/v1/fill/w_536,h_792,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/2020.png",https://drive.google.com/file/d/186nxjCE9-bch1QNnTmyofrYjvwj2Tfbr/view?usp=sharing,https://www.ficloscabos.org/_files/ugd/589d69_4201d4c9d8874249909e27e754be9e81.pdf,"SELECCIÓN OFICIAL - COMPETENCIA LOS CABOS

Beans | Dir. Tracey Deer | Canadá

Cosas que no hacemos | Dir. Bruno Santamaría Razo | México

In Between Dying | Dir. Hilal Baydarov | Azerbaiyán, México, Estados Unidos

Never Rarely Sometimes Always | Dir. Eliza Hittman | Estados Unidos

Off the Road | Dir. José Permar | México, Estados Unidos

Shiva Baby | Dir. Emma Seligman | Canadá, Estados Unidos

Summertime | Dir. Carlos López Estrada | Estados Unidos

 

PELÍCULA INAUGURAL

Kajillionaire | Dir. Miranda July | Estados Unidos

 

AFTER DARK

Get the Hell Out | Dir. I-Fan Wang | Taiwán

Relic | Dir. Natalie Erila James | Australia

She Dies Tomorrow | Dir. Amy Seimetz | Estados Unidos

​

SPOTLIGHT: JOSEPHINE DECKER

Thou Wast Mild and Lovely | Dir. Josephine Decker | Estados Unidos

Butter on the Latch | Dir. Josephine Decker | Estados Unidos

Me the Terrible | Dir. Josephine Decker | Estados Unidos

PANORAMA

76 Days | Dir. Hao Wu, Weixi Chen, Anonymous | Estados Unidos, China

One Night in Miami | Dir. Regina King | Estados Unidos

Quo Vadis, Aida? | Dir. Jasmila Zbanic | Bosnia y Herzegovina, Austria, Rumania, Holanda, Alemania, Polonia, Francia, Noruega

There is no Evil | Dir. Mohammad Rasoulof | Alemania, República Checa, IránWolfwalkers | Dir. Tomm Moore, Ross Stewart | Irlanda, Luxemburgo, Francia, Estados Unidos

 

RETROSPECTIVA: MEXICANAS GANADORAS

Plaza de la Soledad | Dir. Maya Goded | México

Llévate mis amores | Dir. Arturo González Villaseñor | México

Tamara y la Catarina | Dir. Lucía Carreras | México, España

Te prometo anarquía | Dir. Julio Hernández Cordón | México, Alemania

Feral | Dir. Andrés Kaiser | México

Observar la aves | Dir. Andrea Martínez Crowther | México

 

PELÍCULA DE CLAUSURA

Shirley | Dir. Josephine Decker | Estados Unidos","SPOTLIGHT EN JOSEPHINE DECKER

 

Cineasta estadounidense que presentó el estreno de su película Shirley además de Thou Wast Mild and Lovely, Butter on the Latch y Me the Terrible. A la par, se transmitió una conversación con la directora, moderada por la cinefotógrafa Carolina Costa.",/,,"SELECCIÓN OFICIAL - COMPETENCIA LOS CABOS
PREMIO COMPETENCIA LOS CABOS, OTORGADO CON EL APOYO DE NETFLIX: Never Rarely Sometimes Always (Dir. Eliza Hittman). 

PREMIO CINECOLOR COMPETENCIA LOS CABOS: Cosas que no hacemos (Dir. Bruno Santamaría Razo).

PREMIO ART KINGDOM: In Between Dying (Dir. Hilal Baydarov). 

 

FONDO FÍLMICO GABRIEL FIGUEROA - CINE EN DESARROLLO

PREMIO CTT EXP & RENTALS: El ojo de los días (Dir. J. Xavier Velasco).

PREMIO PIANO Y PREMIO SUPERVISIÓN DE POST CHEMISTRY: Dios y la cumbia del diablo (Dir. Carlos Lenin).

PREMIO CHEMISTRY: Oasis (Dir. Faride Schroeder).

FONDO FÍLMICO GABRIEL FIGUEROA - WORK IN PROGRESS

PREMIO CINECOLOR MÉXICO - SHALALÁ: Las hostilidades (Dir. M. Sebastian Molina).

​

CUARTO CONCURSO DE CRÍTICA CINEMATOGRÁFICA

Erick Estrada (Cinegarage)

Gonzalo Lira (Cinema Móvil)

Jessica Oliva (Cine Premiere)

Josué Corro (Dónde Ir)  

Rubén Peralta Girauld (Sensacine México)

 

GANADOR Daniel Torres Aguilar."
